Individual,Predicted,Predicted_rank,True,True_rank,Score_predict,Score_true,Dif
FOOD-020,CerealsAndGrainProducts,30,PizzaAndFocacciaBread,275,0.625,0.095,245
FOOD-0014,Food,19,LegumesAndLegumeProducts,234,0.45,0.135,215
FOOD-053,VegetablesAndLegumes,17,LegumesAndLegumeProducts,202,0.605,0.21,185
Galactose_000,Carbs,79,Galactose,238,0.425,0.23,159
FOOD-0007,Food,21,Vegetables,143,0.475,0.29,122
FOOD-055,VegetablesAndLegumes,6,SoyProducts,123,0.74,0.35,117
Maltose_020,Carbs,14,Maltose,112,0.9,0.015,98
FOOD-3001,ProcessedVegetables,3,TomatoSauces,98,0.925,0.39,95
Maltose_230,Carbs,23,Maltose,113,0.78,0.04,90
Maltose_110,Carbs,24,Maltose,105,0.76,0.04,81
